Unnamed: 0,Company,Date,Tahun_Buku,Link,folder_path,category
14,AGRS,03 Mei 2021 | 10:06,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AGRS/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AGRS\2020,Financial and Shariah
15,AHAP,12 Oktober 2022 | 16:46,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AHAP/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AHAP\2020,Insurance
16,AIMS,16 Maret 2021 | 19:34,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AIMS/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AIMS\2020,General
17,AISA,31 Maret 2021 | 18:41,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AISA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AISA\2020,General
18,AKKU,30 Juni 2021 | 17:13,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AKKU/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AKKU\2020,General
19,AKPI,14 April 2021 | 16:05,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AKPI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AKPI\2020,General
20,AKRA,25 Maret 2021 | 08:31,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AKRA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AKRA\2020,General
21,AKSI,28 Mei 2021 | 18:51,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AKSI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AKSI\2020,General
22,ALDO,25 Maret 2021 | 11:48,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ALDO/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ALDO\2020,General
23,ALKA,01 April 2021 | 17:36,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ALKA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ALKA\2020,General
