Company,Tanggal,Saham
BBMD,2013-07-08,4049189100.0
BBNI,2007-08-30,15121201105.0
BBNI,2003-12-23,13148870526.0
BBNI,2001-12-12,197233057890.0
BBNI,2001-04-20,197576597975.0
BBNI,1999-07-05,156201206720.0
BBNI,1999-07-02,4296726720.0
BBNI,1996-11-25,4340128000.0
BBRI,2021-10-04,150043411587.0
BBRM,2014-12-12,5367076248.0
BBSI,2022-12-28,3641650791.0
BBSI,2022-12-28,3637976068.0
BBSS,2021-04-16,4800016020.0
BBTN,2023-01-11,13928544413.0
BBTN,2023-01-11,13894099969.0
BBYB,2022-12-08,11944598861.0
BBYB,2022-12-08,11918427523.0
BCAP,2015-05-12,4136062200.0
BCIC,2022-09-02,17926071041.0
BCIP,2009-12-11,1200000000.0
BDMN,2019-05-02,9675817341.0
BEBS,2022-12-21,45000000000.0
BEEF,2023-06-23,7031371419.0
BEKS,2021-10-27,51432014826.0
BEKS,2021-10-27,51351733883.0
BELL,2020-08-03,7250000000.0
BESS,2023-03-14,3440455528.0
BEST,2012-04-10,8765000000.0
BFIN,2017-06-05,15967115620.0
BGTG,2022-12-27,23803371203.0
BGTG,2022-12-27,23731287132.0
BHAT,2020-04-15,5000000000.0
BHIT,2015-01-05,38874443407.0
BIKA,2015-07-14,592280000.0
BIMA,2016-08-29,436175716.0
BIMA,1997-11-04,86000000.0
BIMA,1997-11-03,50000000.0
BIMA,1994-08-30,10000000.0
BIMA,1994-08-30,25000000.0
BINA,2022-12-27,6073369498.0
BIPI,2023-05-23,63710196917.0
BIPP,2015-07-30,4669648436.0
BIRD,2014-11-05,2502100000.0
BISI,2007-05-28,900000000.0
BISI,2007-05-28,3000000000.0
BJBR,2022-03-22,10423055814.0
BJBR,2022-03-22,10416229249.0
BJTM,2020-03-20,14865343101.0
BKDP,2019-11-15,7513992252.0
BKSL,2023-02-21,167708902705.0
BKSW,2023-05-26,34953681505.0
BLTA,2019-05-17,25940187103.0
BLTZ,2014-04-10,337657532.0
BLUE,2019-07-08,418000000.0
BMAS,2022-12-14,8534112229.0
BMRI,2023-04-04,92399999998.0
BMRI,2023-04-04,93333333332.0
BMSR,1999-12-29,130000000.0
BMSR,1999-12-29,336000000.0
BNBA,2022-12-19,3360280000.0
BNBA,2022-12-19,3354120000.0
BNBR,2022-12-23,22084484209.0
BNGA,2005-04-20,2455858301.0
BNGA,2004-10-04,2459770804.0
BNGA,2004-05-21,71807586736.0
BNGA,2004-05-21,2737026284.0
BNGA,2004-05-21,2090340860.0
BNGA,2001-04-25,71807586736.0
BNGA,1999-08-09,71807586736.0
BNGA,1997-09-17,672190987.0
BNGA,1997-09-08,331830278.0
BNGA,1997-02-26,142740957.0
BNII,2014-12-30,67068027368.0
BNLI,2014-01-24,11764996622.0
BOGA,2019-12-27,3803526210.0
BOLA,2019-06-17,6000000000.0
BOLT,2015-07-07,2343750000.0
BOSS,2018-02-15,1400000000.0
BPFI,2015-01-02,1360627100.0
BPII,2022-09-26,515498662.0
BPTR,2023-02-08,3534000000.0
BRAM,2023-01-02,450056980.0
BRIS,2023-03-04,1100000000.0
BRIS,2023-03-04,1200000000.0
BRMS,2022-01-11,141784040338.0
BRNA,2016-10-11,979110000.0
BRNA,1998-08-19,69000000.0
BRNA,1998-08-18,46000000.0
BRNA,1993-09-08,23000000.0
BRNA,1989-11-15,5750000.0
BRNA,1989-11-06,1750000.0
BRPT,2021-06-09,93747218044.0
BSDE,2015-04-14,19246696192.0
BSIM,2014-10-31,13883200857.0
BSSR,2012-11-08,2616500000.0
BSWD,2023-05-05,3651978177.0
BTEK,2017-08-15,46277496376.0
BTEL,2017-03-01,36773904635.0
BTEL,2007-11-06,18953516467.0
BTEL,2006-02-03,18779415495.0
BTON,2016-08-01,720000000.0
BTON,2001-07-18,115000000.0
BTON,2001-07-18,180000000.0
BTPN,1911-01-01,0.0
BTPS,2018-05-08,7626663000.0
BUDI,2015-06-26,4498997362.0
BUKK,2015-06-29,2640452000.0
BULL,2022-07-04,14117801449.0
BUMI,2023-03-09,371320689295.0
BUVA,2023-07-11,19384746546.0
BVIC,2023-09-01,15689753167.0
BWPT,2014-12-29,27021678000.0
BYAN,2022-12-02,33333335000.0
CAKK,2020-11-06,1203300219.0
CAMP,2017-12-19,5885000000.0
CANI,2014-01-16,833440000.0
CARE,2020-03-13,33250000000.0
CARS,2019-06-11,15000000000.0
CASA,2021-07-23,54476269803.0
CASH,2021-05-05,1431125517.0
CASS,2011-12-05,2086950000.0
CBMF,2020-04-09,1875000000.0
CCSI,2021-11-25,1199999998.0
CEKA,2015-08-03,595000000.0
CENT,2015-07-09,10394488300.0
CFIN,2004-12-04,1042214580.0
CFIN,2004-10-15,997214580.0
CFIN,2003-07-02,927212080.0
CFIN,2000-07-11,463606040.0
CFIN,1999-10-27,292517508.0
CFIN,1998-12-10,97505836.0
CFIN,1998-10-19,88800102.0
CFIN,1997-12-22,44400051.0
CFIN,1997-11-07,35550063.0
CFIN,1995-07-24,5950029.0
CINT,2014-06-27,1000000000.0
CITA,2020-02-19,3960361250.0
CITY,2021-02-19,5404710955.0
CLAY,2019-01-18,2570000000.0
CLEO,2018-11-28,12000000000.0
CLPI,2003-05-26,306303500.0
CLPI,2002-08-26,306288500.0
CLPI,2002-08-16,306282500.0
CLPI,2002-07-08,306241500.0
CLPI,2002-06-14,306115500.0
CLPI,2001-11-30,50000000.0
CLPI,2001-11-30,304700000.0
CMNP,2023-09-01,5436242708.0
CMPP,2014-09-03,216000000.0
CNKO,2007-01-11,4246550572.0
CNKO,2004-12-19,3335000000.0
CNKO,2003-11-19,115000000.0
CNKO,2001-11-21,2300000000.0
CNKO,2001-11-21,800000000.0
CNTX,2016-08-12,130000000.0
CNTX,1993-04-15,3500000.0
CNTX,1983-10-15,700000.0
CNTX,1979-05-22,116000.0
COCO,2021-12-27,889863981.0
CPIN,2007-11-01,3284561408.0
CPIN,2007-08-01,1642280704.0
CPIN,2001-01-15,1407669175.0
CPIN,1997-07-02,281533835.0
CPIN,1997-05-26,225227068.0
CPIN,1995-02-07,112613534.0
CPIN,1994-12-01,56306767.0
CPIN,1994-10-20,53339738.0
CPIN,1991-11-11,52500000.0
CPIN,1991-03-18,7500000.0
CPRI,2022-03-14,2433379958.0
CSAP,2023-07-28,5683175151.0
CSIS,2017-05-10,1307000000.0
CSMI,2020-04-09,816061500.0
CSRA,2020-01-09,2050000000.0
CTBN,1999-06-21,80000000.0
CTBN,1999-01-04,50000000.0
CTBN,1994-06-13,45000000.0
CTBN,1993-04-01,30000000.0
CTBN,1992-09-07,6000000.0
CTBN,1990-07-02,5200000.0
CTBN,1989-11-28,1600000.0
CTRA,2023-04-05,18535695255.0
CTTH,2007-11-05,1230839821.0
CTTH,2002-11-28,840000000.0
CTTH,1996-07-03,44000000.0
CTTH,1996-07-03,126000000.0
DADA,2023-02-16,7431530800.0
DART,2007-08-10,1980695481.0
DART,2006-03-23,550000000.0
DART,1997-07-28,550000000.0
DART,1994-11-21,275000000.0
DART,1993-11-17,165000000.0
DART,1992-06-30,132000000.0
DART,1991-11-08,66000000.0
DART,1990-05-08,10000000.0
DART,1990-05-08,16250000.0
DAYA,2018-01-09,2420547025.0
DCII,2021-01-06,2383745900.0
DEAL,2021-11-11,1146170959.0
DEFI,2015-11-23,676000000.0
DEFI,2001-07-06,67600000.0
DEWA,2007-09-26,15223750000.0
DFAM,2021-04-29,1899852850.0
