Company,Tahun_Buku,Tanggal Rilis,kas,jumlah_aset_lancar,persediaan,piutang,jumlah_aset_tidak_lancar,jumlah_aset,jumlah_liabilitas_jangka_pendek,jumlah_liabilitas_jangka_panjang,jumlah_ekuitas,jumlah_liabilitas,pendapatan,cogs,laba_bruto,laba_rugi,laba_rugi_komprehensif,EPS,category,7D_Avg
ALDO,2020,2021-03-25 11:48:00,25095517219.0,536525873066.0,207219414600.0,298761439341.0,417026094146.0,953551967212.0,303886581958.0,59541737434.0,590123647820.0,363428319392.0,1105920883249.0,-870991419206.0,83963236519.0,65331041553.0,61641893670.0,45.967903241818185,General,468.8198503766741
ALKA,2020,2021-04-01 17:36:00,181131283.0,407951601.0,5238377.0,221075096.0,10679301.0,418630902.0,313064439.0,362757.0,105203706.0,313427196.0,2044132602.0,-1997197212.0,8177691.0,6684414.0,1088653.0,14.24,General,242.0
ALMI,2020,2021-05-31 13:29:00,821146.0,65009326.0,44876814.0,15143349.0,36139795.0,101149121.0,99946499.0,20285489.0,-19082867.0,120231988.0,68013921.0,-76840998.0,-18448831.0,-18916626.0,-18917908.0,-0.03,General,242.57142857142858
ALTO,2020,2021-05-31 12:10:00,24388817920.0,192738872245.0,112134962507.0,53422705918.0,913135543011.0,1105874415256.0,232807819931.0,500183514985.0,372883080340.0,732991334916.0,321502485934.0,-284121002771.0,-8840581507.0,-10506939189.0,-7847443274.0,-4.78,General,384.0
AMAG,2020,2021-03-31 12:49:00,1002410482.0,4542439915.0,,376332647.0,193673385.0,4737130041.0,260811942.0,2114715880.0,2006374654.0,2730755387.0,1950066860.0,-610489072.0,123855201.0,107253266.0,205326615.0,21.44,Insurance,187.0991450718471
AMAN,2020,2021-05-20 09:23:00,27313366.0,364679878.0,215692531.0,119991986.0,434717632.0,799397510.0,120247002.0,88098612.0,591051896.0,208345614.0,89548973.0,-36990191.0,18724620.0,16231256.0,16430628.0,4.58,Property,284.26025826590404
AMAR,2020,2021-05-03 13:24:00,3061109.0,3736448872.0,367139054.0,1715508593.0,130936762.0,4057988611.0,2932128223.0,58829613.0,1067030775.0,2990957836.0,652085588.0,-457175036.0,26105916.0,8586126.0,14645382.0,1.07,Financial and Shariah,274.57142857142856
AMFG,2020,2021-04-16 16:16:00,298981.0,1932986.0,1139169.0,450007.0,6028671.0,7961657.0,2404568.0,2627252.0,2929837.0,5031820.0,3767789.0,-3464806.0,-465748.0,-430987.0,-480094.0,-993.0,General,3397.219168526786
AMIN,2020,2021-06-30 10:29:00,5598640231.0,240379288600.0,137229473359.0,86154843918.0,109996193719.0,350375482319.0,182669165262.0,26390443837.0,141315873220.0,209059609099.0,129512982726.0,-152141705996.0,-56805130187.0,-57108102152.0,-59163294277.0,-52.88,Infrastructure Industry,211.71428571428572
AMOR,2020,2021-09-03 08:32:00,262210304154.0,265296748727.0,,42583868534.0,2709450383.0,393127594206.0,19171641942.0,4337652000.0,312179403950.0,80948190256.0,335381828543.0,-127847415168.0,125757976356.0,99619293580.0,100195179280.0,90.0,General - liquidity,1684.1324637276787
AMRT,2020,2021-03-30 12:01:00,3877560.0,13558536.0,7640169.0,1897302.0,12412207.0,25970743.0,15326139.0,3008276.0,7636328.0,18334415.0,75826880.0,-60414446.0,1388967.0,1088477.0,1566127.0,25.56,General,880.6518903459821
ANDI,2020,2021-04-26 13:21:00,8892148246.0,64835474263.0,9070328160.0,39548596857.0,414388810026.0,479224284289.0,72557498302.0,155983496771.0,250683289216.0,228540995073.0,260214446632.0,-217871436903.0,-14233476153.0,-10170233789.0,-8489221191.0,-1.09,General,50.0
ANJT,2020,2021-03-26 16:36:00,15887126.0,66508580.0,17132182.0,6048042.0,569635232.0,636143812.0,28406129.0,211980328.0,395757355.0,240386457.0,164099644.0,-124010517.0,15023617.0,2210825.0,5840294.0,0.000709,General,617.6323329380581
ANTM,2020,2021-03-15 14:28:00,3984387647.0,9150514439.0,2626022280.0,1822169778.0,22578998556.0,31729512995.0,7553261301.0,5136802669.0,19039449025.0,12690063970.0,27372461091.0,-22896684435.0,1641178012.0,1149353693.0,973877751.0,47.83,General,2143.0149274553573
APEX,2020,2021-03-29 11:07:00,13112369.0,52420629.0,27967630.0,4618478.0,283840884.0,336261513.0,6329060.0,203226105.0,126706348.0,209555165.0,54767506.0,-49461541.0,43915354.0,44509502.0,44403733.0,0.0167,General,510.42857142857144
APIC,2020,2021-05-31 19:42:00,320984731248.0,4201191401871.0,,439968809971.0,680720472337.0,4881911874208.0,1895844412840.0,1025141677095.0,1960925784273.0,2920986089935.0,2275473702348.0,-116246947340.0,131911926462.0,124726300324.0,126093747899.0,10.29,General,760.0
APII,2020,2021-04-09 13:57:00,13361199112.0,290537022291.0,185623386596.0,80451047521.0,221683616838.0,512220639129.0,162664484708.0,16335119306.0,333221035115.0,178999604014.0,248930980599.0,-105037449253.0,38984987175.0,30152459780.0,29894287930.0,28.0,General,177.71428571428572
APLI,2020,2021-05-28 17:38:00,40705950961.0,136743918865.0,47328711480.0,48581559136.0,269696976845.0,406440895710.0,86215048917.0,114235031127.0,205990815666.0,200450080044.0,325538152468.0,-278236221095.0,-2070661333.0,-6424025663.0,-7013808659.0,-4.86,General,199.0
APLN,2020,2021-04-27 18:38:00,844705788.0,11676576495.0,7362262748.0,3264444507.0,18714783461.0,30391359956.0,6158911981.0,12877222941.0,11355225034.0,19036134922.0,4956324696.0,-2755057908.0,394699793.0,180144688.0,99322007.0,-6.17,Property,153.71428571428572
ARGO,2020,2021-05-30 13:29:00,26037.0,8012500.0,6018268.0,1968195.0,72172706.0,80185206.0,139375182.0,32805827.0,-91995803.0,172181009.0,4014132.0,-4647851.0,-6439546.0,-5110016.0,-5362674.0,-0.02,General,1789.2857142857142
ARII,2020,2021-06-02 11:40:00,506.0,59545.0,4776.0,47567.0,301257.0,360802.0,286093.0,46495.0,28214.0,332588.0,42160.0,-47473.0,-17918.0,-16405.0,-16292.0,-0.00465,General,323.42857142857144
ARKA,2020,2021-05-31 23:49:00,638667288.0,193136033521.0,59082295829.0,133415070404.0,258464049559.0,451600083080.0,149778045989.0,210265836095.0,91556200996.0,360043882084.0,82949660203.0,-79793229216.0,-37593089207.0,-30599621894.0,-30619684771.0,-15.3,General,50.0
ARMY,2020,2021-06-29 09:46:00,12693243276.0,353422020851.0,233160503531.0,80206952053.0,1390053507308.003,1743475528159.0,105943173892.0,164676750073.0,1472855604194.0,270619923965.0,66074134117.0,-34408417073.0,21619390622.0,21619390622.0,21626785620.0,2.9,Property,50.0
ARNA,2020,2021-02-08 11:46:00,435881790280.0,1183164904839.0,122126018084.0,616815457725.0,787175384681.0,1970340289520.0,602572382597.0,62829255200.0,1304938651723.0,665401637797.0,2211743593136.0,-1508736424351.0,420626406830.0,326241511507.0,316587774083.0,44.35,General,594.9317714146206
ARTA,2020,2021-05-27 10:16:00,77841604715.0,93732057163.0,660434325.0,4737763890.0,300548283034.0,394280340197.0,10304581162.0,41284563811.0,342691195224.0,51589144973.0,32934176030.0,-12471168816.0,-7516492010.0,-11209268817.0,-18671399207.0,-11.0,General,252.2604021344866
ARTI,2020,2021-06-09 15:16:00,1809693875.0,18474673312.0,8522395530.0,7092395751.0,834489907248.0,852964580560.0,918778304442.0,89967798888.0,-155781522770.0,1008746103330.0,32804745743.0,-53830340875.0,-922128824292.0,-956820336547.0,-956820336547.0,-121.3,General,50.0
ARTO,2020,2021-03-12 13:40:00,11283.0,1433570.0,137601.0,907956.0,274462.0,2179873.0,818128.0,127279.0,1232333.0,947540.0,90071.0,-258150.0,-189567.0,-189567.0,-189671.0,-22.49,Financial and Shariah,10464.285714285714
ASBI,2020,2021-03-31 19:29:00,26810850.0,628292689.0,,150936397.0,227722150.0,871769183.0,80157229.0,379948557.0,313771731.0,557997452.0,452779209.0,-174402287.0,18627452.0,23668304.0,24378035.0,68.0,Insurance,276.0694318498884
ASDM,2020,2021-04-15 12:40:00,14269577.0,725067371.0,,136228173.0,112175757.0,859876511.0,106456500.0,366856575.0,351701797.0,508174714.0,988159746.0,-169911213.0,29025657.0,26804614.0,32575206.0,140.0,Insurance,741.4322684151786
ASGR,2020,2021-02-24 18:10:00,479882.0,1742927.0,416883.0,493750.0,545904.0,2288831.0,614162.0,111891.0,1562778.0,726053.0,3348871.0,-2809630.0,539241.0,47783.0,42298.0,35.42,General,738.0624215262277
ASII,2020,2021-02-25 16:11:00,47553.0,132308.0,17929.0,22037.0,205895.0,338203.0,85736.0,57013.0,195454.0,142749.0,175046.0,-136488.0,21741.0,18571.0,17491.0,399.0,General,4779.561732700893
ASJT,2020,2021-05-07 18:49:00,10218012106.0,268523726356.0,,106990244467.0,97240181898.0,365763908254.0,32482687769.0,122901256435.0,209534623296.0,156229284958.0,153682095002.0,-110408843714.0,-6406405960.0,-7767259458.0,171517965.0,-13.0,Insurance,230.28571428571428
ASMI,2020,2021-06-04 21:15:00,27753266725.0,938672932154.0,,262781039391.0,27910678083.0,990991744064.0,60015472777.0,389095693037.0,443450319375.0,546247632809.0,394767227955.0,-223869157077.0,-99983145556.0,-88526593736.0,-86844513059.0,-10.87,Insurance,657.1428571428571
ASPI,2020,2021-05-31 12:04:00,14342342851.0,98307449177.0,63054486117.0,18832208629.0,1596254211.0,99903703388.0,5443220091.0,23896549296.0,70563934001.0,29339769387.0,1942555361.0,-1418009191.0,-2410115364.0,-2410115364.0,-2288552303.0,-3.05,Property,52.285714285714285
ASRI,2020,2021-04-16 08:04:00,624675918.0,2156001152.0,1013400109.0,84991000.0,19070813719.0,21226814871.0,3198161431.0,8642505530.0,9386147910.0,11840666961.0,1413251961.0,-816694800.0,-960029370.0,-1036617865.0,-1038777043.0,-52.3,Property,202.14285714285714
ASRM,2020,2021-04-12 14:27:00,78276193765.0,1167490348322.0,,404820632013.0,275238722065.0,1516562973028.0,90639642848.0,670174720475.0,503181214943.0,1013381758085.0,1485450251023.0,-986560630153.0,76829288523.0,65549370649.0,76278294005.0,248.56866901308655,Insurance,1338.8943394252233
ASSA,2020,2021-04-16 16:20:00,191818184928.0,627688164688.0,5668136643.0,391022094190.0,4543206933579.0,5170895098267.0,1436932364028.0,2294642818540.0,1439319915699.0,3731575182568.0,3037359367967.0,-2247248906374.0,68495021017.0,63896421980.0,70300254724.0,25.65,Infrastructure Industry,2147.1428571428573
ATAP,2020,2021-04-02 13:54:00,3150742995.0,89810097007.0,59317195352.0,27150527759.0,10327942692.0,100138039699.0,26601792476.0,309521617.0,73226725606.0,26911314093.0,40309472225.0,-27231770216.0,3925256972.0,3391105309.0,3472047925.0,5.79,Property,111.27864728655133
ATIC,2020,2021-05-31 17:17:00,492137251815.0,3023298467255.0,486608283489.0,1653029121511.0,1275538896782.0,4298837364037.0,3081662799321.0,821515343446.0,395659221270.0,3903178142767.0,6157619315277.0,-5173404129334.0,-504743499230.0,-526026907367.0,-521467827960.0,-239.47,General,721.4285714285714
AUTO,2020,2021-02-24 16:06:00,1503144.0,5153633.0,1557446.0,1881318.0,10026461.0,15180094.0,2775650.0,1133653.0,11270791.0,3909303.0,11869221.0,-10289115.0,116071.0,-37864.0,-138731.0,0.0001,General,913.9171927315848
AYLS,2020,2021-08-20 15:08:00,329201619.0,57968261965.0,24695691607.0,31061835885.0,11962775921.0,69931037886.0,21859794835.0,1031231406.0,47040011645.0,22891026241.0,9966360080.0,-8525245188.0,-4128944217.0,-4128944217.0,-4128944217.0,-4.84,General,68.85714285714286
BABP,2020,2021-09-01 18:47:00,95819.0,10336691.0,1620855.0,7122033.0,1001421.0,11652904.0,9883280.0,72599.0,1551237.0,10101667.0,1024414.0,-854665.0,15954.0,10414.0,38963.0,0.41,Financial and Shariah,384.2857142857143
BACA,2020,2021-05-04 17:36:00,91566.0,15793683.0,695334.0,6578830.0,3016029.0,20223558.0,17266500.0,137549.0,1640391.0,18583167.0,1150436.0,-1266231.0,78959.0,61414.0,102624.0,8.69,Financial and Shariah,428.0
BAJA,2020,2021-04-09 08:47:00,85990562715.0,562587933413.0,299112438900.0,125658754855.0,197837546221.0,760425479634.0,619717175037.0,12869216111.0,127839088486.0,632586391148.0,1204954780957.0,-1103312751141.0,48827525559.0,55118520227.0,56380932419.0,30.62,General,250.28571428571428
BALI,2020,2021-03-05 17:29:00,104870198132.0,401196606179.0,59778891915.0,163267594584.0,4250743369509.0,4651939975688.0,642283365635.0,1829812485240.0,2179844124813.0,2472095850875.0,778896099135.0,-356126150223.0,107291209324.0,84403215805.0,281527668367.0,21.45,Infrastructure Industry,618.3418579101562
BANK,2020,2021-05-03 11:35:00,182.0,664191.0,608728.0,52.0,57069.0,721397.0,646.0,39310.0,641274.0,39961.0,26839.0,-19550.0,44868.0,44868.0,42651.0,5.0,Financial and Shariah,3354.285714285714
BAPA,2020,2021-05-31 19:14:00,1603723974.0,107744636327.0,104987709591.0,1153202762.0,34562134702.0,142306771029.0,7445381494.0,653541865.0,134207847670.0,8098923359.0,9518983284.0,-4737890003.0,-3701922025.0,-3737826580.0,-1402540271.0,-2.12,Property,50.0
BAPI,2020,2021-06-01 15:16:00,1122853866.0,626255867103.0,610133580551.0,3213809605.0,45358090.0,626301225193.0,48903369225.0,148664893540.0,428732962428.0,197568262765.0,13272828632.0,-9085788937.0,-2125021883.0,-2456842599.0,-2466148415.0,-0.44,Property,50.0
BATA,2020,2021-06-07 20:35:00,58567735.0,343779513.0,192307851.0,24532714.0,431545424.0,775324937.0,248721907.0,48658851.0,477944179.0,297380758.0,459584146.0,-361651349.0,-225041792.0,-177761030.0,-175307147.0,-136.74,General,675.7142857142857
BAYU,2020,2021-05-11 15:09:00,502508932101.0,547281401649.0,,37576621573.0,145327989586.0,692609391235.0,263898409658.0,30580426001.0,398130555576.0,294478835659.0,551589148609.0,-497052818955.0,2871841196.0,1245008804.0,-22029131419.0,4.77,General,944.7384905133929
