Company,Tanggal,Saham
BAYU,19 Jul 1996,261.818.182
BAYU,01 Jul 1996,240.000.000
BAYU,18 Jul 1995,120.000.000
BAYU,20 Sep 1993,24.000.000
BAYU,23 Apr 1993,6.000.000
BAYU,30 Okt 1989,2.000.000
BBCA,13 Okt 2021,122.042.299.500
BBCA,13 Okt 2021,123.275.050.000
BBHI,12 Agt 2015,3.613.500.000
BBKP,07 Jun 2023,185.819.884.852
BBLD,21 Nov 2005,229.351.247
BBLD,11 Mei 2005,181.484.500
BBLD,25 Feb 2005,181.384.500
BBLD,05 Feb 2004,180.000.000
BBLD,26 Jul 1999,180.000.000
BBLD,20 Jun 1995,90.000.000
BBLD,31 Mei 1994,27.010.200
BBLD,31 Mei 1994,27.011.500
BBLD,31 Mei 1994,44.987.640
BBLD,31 Mei 1994,45.000.000
BBMD,08 Jul 2013,4.049.189.100
BBNI,30 Agt 2007,15.121.201.105
BBNI,23 Des 2003,13.148.870.526
BBNI,12 Des 2001,197.233.057.890
BBNI,20 Apr 2001,197.576.597.975
BBNI,05 Jul 1999,156.201.206.720
BBNI,02 Jul 1999,4.296.726.720
BBNI,25 Nov 1996,4.340.128.000
BBRI,04 Okt 2021,150.043.411.587
BBRM,12 Des 2014,5.367.076.248
BBSI,28 Des 2022,3.641.650.791
BBSI,28 Des 2022,3.637.976.068
BBSS,16 Apr 2021,4.800.016.020
BBTN,11 Jan 2023,13.928.544.413
BBTN,11 Jan 2023,13.894.099.969
BBYB,08 Des 2022,11.944.598.861
BBYB,08 Des 2022,11.918.427.523
BCAP,12 Mei 2015,4.136.062.200
BCIC,02 Sep 2022,17.926.071.041
BCIP,11 Des 2009,1.200.000.000
BDMN,02 Mei 2019,9.675.817.341
BEBS,21 Des 2022,45.000.000.000
BEEF,23 Jun 2023,7.031.371.419
BEKS,27 Okt 2021,51.432.014.826
BEKS,27 Okt 2021,51.351.733.883
BELL,03 Agt 2020,7.250.000.000
BESS,14 Mar 2023,3.440.455.528
BEST,10 Apr 2012,8.765.000.000
BFIN,05 Jun 2017,15.967.115.620
BGTG,27 Des 2022,23.803.371.203
BGTG,27 Des 2022,23.731.287.132
BHAT,15 Apr 2020,5.000.000.000
BHIT,05 Jan 2015,38.874.443.407
BIKA,14 Jul 2015,592.280.000
BIMA,29 Agt 2016,436.175.716
BIMA,04 Nov 1997,86.000.000
BIMA,03 Nov 1997,50.000.000
BIMA,30 Agt 1994,10.000.000
BIMA,30 Agt 1994,25.000.000
BINA,27 Des 2022,6.073.369.498
BIPI,23 Mei 2023,63.710.196.917
BIPP,30 Jul 2015,4.669.648.436
BIRD,05 Nov 2014,2.502.100.000
BISI,28 Mei 2007,900.000.000
BISI,28 Mei 2007,3.000.000.000
BJBR,22 Mar 2022,10.423.055.814
BJBR,22 Mar 2022,10.416.229.249
BJTM,20 Mar 2020,14.865.343.101
BKDP,15 Nov 2019,7.513.992.252
BKSL,21 Feb 2023,167.708.902.705
BKSW,26 Mei 2023,34.953.681.505
BLTA,17 Mei 2019,25.940.187.103
BLTZ,10 Apr 2014,337.657.532
BLUE,08 Jul 2019,418.000.000
BMAS,14 Des 2022,8.534.112.229
BMRI,04 Apr 2023,92.399.999.998
BMRI,04 Apr 2023,93.333.333.332
BMSR,29 Des 1999,130.000.000
BMSR,29 Des 1999,336.000.000
BMTR,Tidak ada data,Tidak ada data
BNBA,19 Des 2022,3.360.280.000
BNBA,19 Des 2022,3.354.120.000
BNBR,23 Des 2022,22.084.484.209
BNGA,20 Apr 2005,2.455.858.301
BNGA,04 Okt 2004,2.459.770.804
BNGA,21 Mei 2004,71.807.586.736
BNGA,21 Mei 2004,2.737.026.284
BNGA,21 Mei 2004,2.090.340.860
BNGA,25 Apr 2001,71.807.586.736
BNGA,09 Agt 1999,71.807.586.736
BNGA,17 Sep 1997,672.190.987
BNGA,08 Sep 1997,331.830.278
BNGA,26 Feb 1997,142.740.957
BNII,30 Des 2014,67.068.027.368
BNLI,24 Jan 2014,11.764.996.622
BOGA,27 Des 2019,3.803.526.210
BOLA,17 Jun 2019,6.000.000.000
BOLT,07 Jul 2015,2.343.750.000
BOSS,15 Feb 2018,1.400.000.000
BPFI,02 Jan 2015,1.360.627.100
BPII,26 Sep 2022,515.498.662
BPTR,08 Feb 2023,3.534.000.000
BRAM,02 Jan 2023,450.056.980
BRIS,04 Mar 2023,1.100.000.000
BRIS,04 Mar 2023,1.200.000.000
BRMS,11 Jan 2022,141.784.040.338
BRNA,11 Okt 2016,979.110.000
BRNA,19 Agt 1998,69.000.000
BRNA,18 Agt 1998,46.000.000
BRNA,08 Sep 1993,23.000.000
BRNA,15 Nov 1989,5.750.000
BRNA,06 Nov 1989,1.750.000
BRPT,09 Jun 2021,93.747.218.044
BSDE,14 Apr 2015,19.246.696.192
BSIM,31 Okt 2014,13.883.200.857
BSSR,08 Nov 2012,2.616.500.000
BSWD,05 Mei 2023,3.651.978.177
BTEK,15 Agt 2017,46.277.496.376
BTEL,01 Mar 2017,36.773.904.635
BTEL,06 Nov 2007,18.953.516.467
BTEL,03 Feb 2006,18.779.415.495
BTON,01 Agt 2016,720.000.000
BTON,18 Jul 2001,115.000.000
BTON,18 Jul 2001,180.000.000
BTPN,01 Jan 1911,0
BTPS,08 Mei 2018,7.626.663.000
BUDI,26 Jun 2015,4.498.997.362
BUKK,29 Jun 2015,2.640.452.000
BULL,04 Jul 2022,14.117.801.449
BUMI,09 Mar 2023,371.320.689.295
BUVA,11 Jul 2023,19.384.746.546
BVIC,01 Sep 2023,15.689.753.167
BWPT,29 Des 2014,27.021.678.000
BYAN,02 Des 2022,33.333.335.000
CAKK,06 Nov 2020,1.203.300.219
CAMP,19 Des 2017,5.885.000.000
CANI,16 Jan 2014,833.440.000
CARE,13 Mar 2020,33.250.000.000
CARS,11 Jun 2019,15.000.000.000
CASA,23 Jul 2021,54.476.269.803
CASH,05 Mei 2021,1.431.125.517
CASS,05 Des 2011,2.086.950.000
CBMF,09 Apr 2020,1.875.000.000
CCSI,25 Nov 2021,1.199.999.998
CEKA,03 Agt 2015,595.000.000
CENT,09 Jul 2015,10.394.488.300
CFIN,04 Des 2004,1.042.214.580
CFIN,15 Okt 2004,997.214.580
CFIN,02 Jul 2003,927.212.080
CFIN,11 Jul 2000,463.606.040
CFIN,27 Okt 1999,292.517.508
CFIN,10 Des 1998,97.505.836
CFIN,19 Okt 1998,88.800.102
CFIN,22 Des 1997,44.400.051
CFIN,07 Nov 1997,35.550.063
CFIN,24 Jul 1995,5.950.029
CINT,27 Jun 2014,1.000.000.000
CITA,19 Feb 2020,3.960.361.250
CITY,19 Feb 2021,5.404.710.955
CLAY,18 Jan 2019,2.570.000.000
CLEO,28 Nov 2018,12.000.000.000
CLPI,26 Mei 2003,306.303.500
CLPI,26 Agt 2002,306.288.500
CLPI,16 Agt 2002,306.282.500
CLPI,08 Jul 2002,306.241.500
CLPI,14 Jun 2002,306.115.500
CLPI,30 Nov 2001,50.000.000
CLPI,30 Nov 2001,304.700.000
CMNP,01 Sep 2023,5.436.242.708
CMPP,03 Sep 2014,216.000.000
CNKO,11 Jan 2007,4.246.550.572
CNKO,19 Des 2004,3.335.000.000
CNKO,19 Nov 2003,115.000.000
CNKO,21 Nov 2001,2.300.000.000
CNKO,21 Nov 2001,800.000.000
CNTX,12 Agt 2016,130.000.000
CNTX,15 Apr 1993,3.500.000
CNTX,15 Okt 1983,700.000
CNTX,22 Mei 1979,116.000
COCO,27 Des 2021,889.863.981
CPIN,01 Nov 2007,3.284.561.408
CPIN,01 Agt 2007,1.642.280.704
CPIN,15 Jan 2001,1.407.669.175
CPIN,02 Jul 1997,281.533.835
CPIN,26 Mei 1997,225.227.068
CPIN,07 Feb 1995,112.613.534
CPIN,01 Des 1994,56.306.767
CPIN,20 Okt 1994,53.339.738
CPIN,11 Nov 1991,52.500.000
CPIN,18 Mar 1991,7.500.000
CPRI,14 Mar 2022,2.433.379.958
CSAP,28 Jul 2023,5.683.175.151
CSIS,10 Mei 2017,1.307.000.000
CSMI,09 Apr 2020,816.061.500
CSRA,09 Jan 2020,2.050.000.000
CTBN,21 Jun 1999,80.000.000
CTBN,04 Jan 1999,50.000.000
CTBN,13 Jun 1994,45.000.000
CTBN,01 Apr 1993,30.000.000
CTBN,07 Sep 1992,6.000.000
CTBN,02 Jul 1990,5.200.000
CTBN,28 Nov 1989,1.600.000
CTRA,05 Apr 2023,18.535.695.255
CTTH,05 Nov 2007,1.230.839.821
CTTH,28 Nov 2002,840.000.000
CTTH,03 Jul 1996,44.000.000
CTTH,03 Jul 1996,126.000.000
DADA,16 Feb 2023,7.431.530.800
DART,10 Agt 2007,1.980.695.481
DART,23 Mar 2006,550.000.000
DART,28 Jul 1997,550.000.000
DART,21 Nov 1994,275.000.000
DART,17 Nov 1993,165.000.000
DART,30 Jun 1992,132.000.000
DART,08 Nov 1991,66.000.000
DART,08 Mei 1990,10.000.000
DART,08 Mei 1990,16.250.000
DAYA,09 Jan 2018,2.420.547.025
DCII,06 Jan 2021,2.383.745.900
DEAL,11 Nov 2021,1.146.170.959
DEFI,23 Nov 2015,676.000.000
DEFI,06 Jul 2001,67.600.000
DEWA,26 Sep 2007,15.223.750.000
DFAM,29 Apr 2021,1.899.852.850
DGIK,19 Des 2007,5.541.165.000
DGNS,15 Jan 2021,1.250.000.000
DIGI,17 Nov 2020,1.625.000.000
DILD,24 Agt 2007,3.109.756.083
DILD,26 Jan 1998,462.891.300
DILD,26 Jan 1998,925.782.600
DILD,24 Jun 1994,243.627.000
DILD,10 Sep 1992,41.000.000
DILD,10 Sep 1992,162.418.000
DILD,04 Sep 1991,12.000.000
DIVA,02 Sep 2021,1.428.571.400
DKFT,21 Nov 1997,26.000.000
DKFT,21 Nov 1997,65.000.000
DLTA,03 Nov 2015,800.659.050
DLTA,21 Des 2000,16.013.181
DLTA,04 Jan 2000,3.361.166
DLTA,04 Agt 1994,2.940.819
DLTA,15 Okt 1993,2.145.126
DLTA,21 Mei 1993,700.042
DLTA,21 Mei 1993,715.042
DLTA,06 Agt 1992,636.313
DLTA,30 Jan 1988,583.632
DLTA,14 Apr 1987,390.807
DMAS,29 Mei 2015,48.198.111.100
DMMX,21 Okt 2019,7.692.307.700
DMND,22 Jan 2020,9.468.359.000
DNAR,08 Jun 2023,16.777.876.732
DNAR,08 Jun 2023,16.867.292.274
DNET,26 Jun 2013,14.184.000.000
DOID,15 Jul 2014,8.245.228.732
DPNS,27 Jul 2007,331.129.952
DPNS,08 Jun 2006,308.293.404
DPNS,04 Agt 2005,154.146.702
DPNS,08 Sep 2000,125.945.820
DPNS,10 Agt 1999,104.954.850
DPNS,27 Okt 1998,80.734.500
DPNS,12 Okt 1998,69.201.000
DPNS,10 Okt 1994,34.600.500
DPNS,12 Des 1991,25.164.000
DPNS,10 Sep 1991,12.000.000
DPUM,08 Des 2015,4.175.000.000
DSFI,10 Sep 2002,1.857.135.500
DSFI,24 Jul 2002,1.819.147.750
DSFI,22 Jan 2001,178.116.000
DSFI,22 Jan 2001,890.580.000
DSFI,24 Mar 2000,50.000.000
DSFI,24 Mar 2000,175.000.000
DSNG,19 Okt 2015,10.598.500.000
DSSA,10 Des 2009,770.552.320
DUTI,15 Apr 1997,1.387.500.000
DUTI,24 Feb 1997,693.750.000
DUTI,22 Agt 1996,346.875.000
DUTI,04 Agt 1995,277.500.000
DUTI,02 Nov 1994,25.000.000
DUTI,02 Nov 1994,225.000.000
DVLA,03 Jul 1998,560.000.000
DVLA,03 Jul 1998,995.000.000
DVLA,03 Mei 1996,140.000.000
